year,period,count,predicted_count
2012,2012-01-01,656,644
2012,2012-02-01,403,404
2012,2012-03-01,346,406
2012,2012-04-01,316,361
2012,2012-05-01,356,305
2012,2012-06-01,320,332
2012,2012-07-01,292,255
2012,2012-08-01,284,236
2012,2012-09-01,391,375
2012,2012-10-01,629,657
2012,2012-11-01,636,672
2012,2012-12-01,556,641
2013,2013-01-01,495,446
2013,2013-02-01,369,370
2013,2013-03-01,372,379
2013,2013-04-01,270,263
2013,2013-05-01,319,338
2013,2013-06-01,388,393
2013,2013-07-01,312,386
2013,2013-08-01,291,321
2013,2013-09-01,478,526
2013,2013-10-01,501,457
2013,2013-11-01,693,786
2013,2013-12-01,837,688
2014,2014-01-01,588,601
2014,2014-02-01,461,429
2014,2014-03-01,414,482
2014,2014-04-01,369,350
2014,2014-05-01,370,330
2014,2014-06-01,317,304
2014,2014-07-01,259,292
2014,2014-08-01,241,304
2014,2014-09-01,385,383
2014,2014-10-01,563,495
2014,2014-11-01,614,697
2014,2014-12-01,1090,1075
2015,2015-01-01,701,744
2015,2015-02-01,405,459
2015,2015-03-01,493,424
2015,2015-04-01,372,347
2015,2015-05-01,300,358
2015,2015-06-01,330,332
2015,2015-07-01,273,287
2015,2015-08-01,286,372
2015,2015-09-01,374,433
2015,2015-10-01,512,591
2015,2015-11-01,832,736
2015,2015-12-01,892,754
2016,2016-01-01,542,538
2016,2016-02-01,618,713
2016,2016-03-01,413,546
2016,2016-04-01,360,352
2016,2016-05-01,341,350
2016,2016-06-01,408,400
2016,2016-07-01,348,376
2016,2016-08-01,404,376
2016,2016-09-01,519,417
2016,2016-10-01,942,879
2016,2016-11-01,959,867
2016,2016-12-01,1182,1160
2017,2017-01-01,583,562
2017,2017-02-01,544,556
2017,2017-03-01,508,477
2017,2017-04-01,397,387
2017,2017-05-01,391,399
2017,2017-06-01,425,349
2017,2017-07-01,332,274
2017,2017-08-01,371,347
2017,2017-09-01,545,549
2017,2017-10-01,853,762
2017,2017-11-01,984,987
2017,2017-12-01,1215,1175
2018,2018-01-01,792,772
2018,2018-02-01,503,500
2018,2018-03-01,483,464
2018,2018-04-01,398,397
2018,2018-05-01,423,423
2018,2018-06-01,386,385
2018,2018-07-01,336,326
2018,2018-08-01,338,270
2018,2018-09-01,450,495
2018,2018-10-01,745,787
2018,2018-11-01,692,734
2018,2018-12-01,1147,1154
2019,2019-01-01,689,721
2019,2019-02-01,488,466
2019,2019-03-01,473,438
2019,2019-04-01,383,359
2019,2019-05-01,385,460
2019,2019-06-01,388,375
2019,2019-07-01,357,360
2019,2019-08-01,323,330
2019,2019-09-01,498,511
2019,2019-10-01,663,655
2019,2019-11-01,744,747
2019,2019-12-01,959,1028
2020,2020-01-01,799,755
2020,2020-02-01,658,533
2020,2020-03-01,294,61
2020,2020-04-01,100,46
2020,2020-05-01,186,143
2020,2020-06-01,266,364
2020,2020-07-01,320,300
2020,2020-08-01,295,311
2020,2020-09-01,475,461
2020,2020-10-01,567,709
2020,2020-11-01,419,638
2020,2020-12-01,622,728
2021,2021-01-01,391,334
2021,2021-02-01,265,295
2021,2021-03-01,253,56
2021,2021-04-01,227,23
2021,2021-05-01,268,281
2021,2021-06-01,315,438
2021,2021-07-01,260,313
2021,2021-08-01,315,360
2021,2021-09-01,392,461
2021,2021-10-01,522,624
2021,2021-11-01,701,864
2021,2021-12-01,628,900
2022,2022-01-01,571,499
2022,2022-02-01,465,862
2022,2022-03-01,388,581
2022,2022-04-01,304,395
2022,2022-05-01,346,241
2022,2022-06-01,344,360
2022,2022-07-01,294,364
2022,2022-08-01,338,185
2022,2022-09-01,377,537
2022,2022-10-01,482,550
2022,2022-11-01,592,750
2022,2022-12-01,645,1046
